feature,test,statistic,p_value,pd_mean,tbi_mean,pd_std,tbi_std
intonation_slope_mean,Mann-Whitney U,2958.0,3.690724066470269e-16,-70.27550492308956,-23.078585648999315,49.93087495812108,34.832505713741554
cpp_median,Mann-Whitney U,2967.0,4.2214204077254067e-16,140.8490694778587,153.33039506859984,11.968141725408483,9.94309834610126
delta2_mfcc_10_std,Mann-Whitney U,3001.0,6.996135194658185e-16,1.1929019847548317,1.4117965423420964,0.2641414645017866,0.15909230858864523
spectral_entropy_mean,Mann-Whitney U,3105.0,3.205737560533521e-15,5.160464111082662,5.337221418680487,0.19984885768729724,0.11123807590761293
delta_mfcc_8_mean,Mann-Whitney U,3138.0,5.158584208087578e-15,-0.001001479370183908,0.009830788740458014,0.007476335676284236,0.011696085904106958
delta2_mfcc_2_mean,Mann-Whitney U,3212.0,1.4800938761624948e-14,-0.005181774611667609,0.009673348532889463,0.010459846131982926,0.017141151619249093
spectral_entropy_max,t-test,-8.619186970932757,1.488824842960352e-14,6.263754727542033,6.391554191824573,0.14996529975160613,0.052033189438590303
delta_mfcc_10_std,Mann-Whitney U,3383.0,1.5806353318869366e-13,1.8855745971639477,2.221428610303082,0.40181705707423826,0.2653157549197004
formant_f2_std,t-test,-8.014828904752784,1.7441149521264868e-13,436.70299095643463,495.7357598077627,69.85643317126703,37.92624008970486
spectral_rolloff_mean,Mann-Whitney U,3429.0,2.9413782668147507e-13,2276.073360610995,2573.0322836726978,356.26540162719147,199.07868041293392
delta2_mfcc_1_median,Mann-Whitney U,11448.0,6.290346505656776e-13,0.15859377172636357,0.013053157175183893,0.13167745800669395,0.16318828778034272
pitch_hz_mean,Mann-Whitney U,11447.0,6.374201428723199e-13,157.08710721840185,126.24869481076016,33.004128922306506,32.09403711596502
intensity_db_mean,t-test,7.621802311423435,1.0527431537607532e-12,55.82404776181309,52.18190703696971,4.280437602571817,2.933721944560134
spectral_flatness_mean,Mann-Whitney U,3526.0,1.0657025144113341e-12,0.00025411071510545623,4.513368399327121e-05,0.0011704934589706706,5.0419598123806085e-05
